B02,B03,B04,B08,class
934.40338134765625,750.02911376953125,582.79888916015625,2503.452880859375,PALTO
951.35308837890625,767.59881591796875,587.3575439453125,1951.1505126953125,NARANJO
1019.8676147460938,937.57733154296875,851.9371337890625,3613.02978515625,PALTO
867.5770263671875,703.55670166015625,518.58056640625,2707.037841796875,PALTO
856.76422119140625,666.2607421875,462.630126953125,2491.021728515625,PALTO
953.4459228515625,799.26654052734375,689.38140869140625,2642.635009765625,PALTO
1117.59814453125,946.05010986328125,1118.414794921875,1658.793701171875,VID DE MESA
882.6737060546875,740.01055908203125,484.1437072753906,4998.53515625,PALTO
921.0518798828125,751.23919677734375,477.39501953125,2243.37060546875,MANDARINO
1032.749267578125,896.1080322265625,827.142822265625,2896.229248046875,PALTO
1006.4469604492188,831.08990478515625,827.931640625,1103.826904296875,PALTO
934.801025390625,824.7662353515625,501.32647705078125,3082.656982421875,PALTO
1019.2180786132812,838.910888671875,742.04681396484375,1611.1470947265625,DURAZNERO TIPO CONSERVERO
957.56646728515625,810.736083984375,514.568115234375,1872.0867919921875,OLIVO
872.23541259765625,663.0213623046875,463.73223876953125,2020.083251953125,PALTO
982.867919921875,738.09906005859375,654.615478515625,977.78900146484375,CIRUELO EUROPEO
871.12005615234375,673.84185791015625,470.0401611328125,1941.9661865234375,PALTO
840.44622802734375,663.53179931640625,420.6598815917969,2953.90771484375,PALTO
1132.9202880859375,974.1888427734375,1088.1007080078125,1669.5272216796875,DURAZNERO TIPO CONSERVERO
910.20928955078125,723.2041015625,538.170654296875,2564.705810546875,PALTO
917.791259765625,737.16693115234375,636.9073486328125,2088.824462890625,PALTO
858.9443359375,660.67486572265625,457.5506286621094,2190.916015625,PALTO
869.59844970703125,709.22515869140625,470.0273742675781,3223.845458984375,PALTO
879.77838134765625,717.50921630859375,487.239013671875,3535.96826171875,PALTO
923.61138916015625,755.193603515625,565.53387451171875,3553.84375,PALTO
869.24041748046875,686.55926513671875,467.8570861816406,2171.545166015625,PALTO
967.04229736328125,791.274658203125,635.32635498046875,2033.6396484375,PALTO
1039.9522705078125,943.55682373046875,820.1358642578125,3263.437255859375,PALTO
922.462646484375,739.33282470703125,551.06976318359375,2046.620849609375,MANDARINO
904.71142578125,732.4609375,595.693115234375,2891.04833984375,PALTO
1055.1343994140625,877.7816162109375,939.60736083984375,1414.193359375,DURAZNERO TIPO CONSERVERO
1160.9384765625,1033.843017578125,1038.9239501953125,2072.0400390625,MANDARINO
1031.0052490234375,939.330078125,816.28558349609375,3244.07470703125,PALTO
867.74786376953125,719.84588623046875,454.0791320800781,3019.25439453125,PALTO
1044.4122314453125,839.42633056640625,726.45806884765625,1686.5467529296875,NOGAL
1022.259765625,832.96990966796875,833.66339111328125,1362.0634765625,DURAZNERO TIPO CONSERVERO
951.8038330078125,828.17791748046875,749.19757080078125,3291.103271484375,PALTO
1124.9202880859375,937.96600341796875,969.39556884765625,1519.0791015625,VID DE MESA
1013.9691772460938,787.02655029296875,773.23822021484375,1164.9404296875,CIRUELO EUROPEO
1236.421875,1145.1353759765625,1238.5999755859375,2031.06640625,PALTO
860.1162109375,713.18719482421875,491.5441589355469,3117.919189453125,PALTO
913.46575927734375,783.19940185546875,537.48870849609375,2064.247314453125,MANDARINO
1032.9444580078125,901.1959228515625,773.05303955078125,2103.1611328125,PALTO
1043.870849609375,914.87396240234375,904.56365966796875,2962.8525390625,PALTO
944.98004150390625,764.86883544921875,696.664306640625,2703.24853515625,PALTO
928.4583740234375,792.85028076171875,605.0478515625,4138.99072265625,PALTO
1043.615478515625,862.95477294921875,932.254150390625,1468.2225341796875,VID DE MESA
994.2310791015625,740.41107177734375,696.61920166015625,1201.9832763671875,CIRUELO EUROPEO
1034.117431640625,895.95977783203125,904.9547119140625,2160.73828125,PALTO
950.42266845703125,769.855224609375,550.3155517578125,2484.9609375,PALTO
994.4439697265625,749.9703369140625,641.697998046875,986.708740234375,VID DE MESA
1031.96044921875,845.99658203125,860.51251220703125,1349.9212646484375,VID DE MESA
1092.1629638671875,925.7822265625,938.46380615234375,2007.729736328125,MANDARINO
912.33074951171875,712.353515625,542.5487060546875,2165.814697265625,MANDARINO
1193.389404296875,1114.7069091796875,1170.580810546875,2052.844970703125,MANDARINO
1048.964111328125,834.9189453125,949.779541015625,1430.973388671875,VID DE MESA
1120.444091796875,1017.5877075195312,1020.8712768554688,2728.8720703125,PALTO
940.23492431640625,817.47259521484375,756.4896240234375,3368.94189453125,PALTO
914.4578857421875,747.1729736328125,503.963134765625,1797.22412109375,PALTO
