"GRANULE_ID","PRODUCT_ID","DATATAKE_IDENTIFIER","MGRS_TILE","SENSING_TIME","TOTAL_SIZE","CLOUD_COVER","GEOMETRIC_QUALITY_FLAG","GENERATION_TIME","NORTH_LAT","SOUTH_LAT","WEST_LON","EAST_LON","BASE_URL","tile","tile2","sens_date"
"L1C_T19HDD_A033841_20211214T144703","S2A_MSIL1C_20211214T143731_N0301_R096_T19HDD_20211214T180333","GS2A_20211214T143731_033841_N03.01","19HDD","2021-12-14T14:52:00.935000Z",474273222,1.5309,"","2021-12-14T18:03:33.000000Z",-32.5327530693199,-33.526249740908,-70.0773934106369,-69.3291763121085,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20211214T143731_N0301_R096_T19HDD_20211214T180333.SAFE","19H","19",2021-12-14
"L1C_T19HCE_A036415_20220612T144942","S2A_MSIL1C_20220612T143741_N0400_R096_T19HCE_20220612T195008","GS2A_20220612T143741_036415_N04.00","19HCE","2022-06-12T14:51:59.958000Z",908096124,0.145301442264624,"","2022-06-12T19:50:08.000000Z",-31.6175047821066,-32.6218076590001,-71.1314714133013,-69.9512491975531,"gs://gcp-public-data-sentinel-2/tiles/19/H/CE/S2A_MSIL1C_20220612T143741_N0400_R096_T19HCE_20220612T195008.SAFE","19H","19",2022-06-12
"L1C_T19HDD_A038732_20240805T144335","S2B_MSIL1C_20240805T143749_N0511_R096_T19HDD_20240805T193840","GS2B_20240805T143749_038732_N05.11","19HDD","2024-08-05T14:52:03.713000Z",424208196,62.1286368552468,"","2024-08-05T19:38:40.000000Z",-32.5327530693199,-33.5262447351269,-70.0773934106369,-69.3304541664985,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20240805T143749_N0511_R096_T19HDD_20240805T193840.SAFE","19H","19",2024-08-05
"L1C_T19HDD_A023645_20200101T143720","S2A_MSIL1C_20200101T142731_N0208_R053_T19HDD_20200101T174749","GS2A_20200101T142731_023645_N02.08","19HDD","2020-01-01T14:41:59.731000Z",862869382,24.2869,"","2020-01-01T17:47:49.000000Z",-32.5329271921699,-33.5276526478463,-70.0773934106369,-68.894998375167,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20200101T142731_N0208_R053_T19HDD_20200101T174749.SAFE","19H","19",2020-01-01
"L1C_T19HDD_A011533_20170906T145124","S2A_MSIL1C_20170906T145121_N0205_R096_T19HDD_20170906T145124","GS2A_20170906T145121_011533_N02.05","19HDD","2017-09-06T14:51:24.460000Z",403769734,97.2624,"PASSED","2017-09-06T14:51:24.000000Z",-32.5327530693199,-33.5262584113214,-70.0773945009131,-69.3291759483537,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20170906T145121_N0205_R096_T19HDD_20170906T145124.SAFE","19H","19",2017-09-06
"L1C_T19HBD_A020042_20210106T145713","S2B_MSIL1C_20210106T144729_N0209_R139_T19HBD_20210106T181805","GS2B_20210106T144729_020042_N02.09","19HBD","2021-01-06T15:02:01.600000Z",181482473,91.4613,"","2021-01-06T18:18:05.000000Z",-32.4967235507116,-33.4890278839316,-72.228898800549,-71.833745994607,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2B_MSIL1C_20210106T144729_N0209_R139_T19HBD_20210106T181805.SAFE","19H","19",2021-01-06
"L1C_T19HBD_A010604_20190318T145608","S2B_MSIL1C_20190318T144729_N0207_R139_T19HBD_20190318T180817","GS2B_20190318T144729_010604_N02.07","19HBD","2019-03-18T15:02:01.000000Z",180554036,1.7972,"","2019-03-18T18:08:17.000000Z",-32.4967235507116,-33.4891191558097,-72.228898800549,-71.8292812814605,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2B_MSIL1C_20190318T144729_N0207_R139_T19HBD_20190318T180817.SAFE","19H","19",2019-03-18
"S2A_OPER_MSI_L1C_TL_EPA__20170531T174850_A002424_T19HBD_N02.04","S2A_OPER_PRD_MSIL1C_PDMC_20170531T214517_R139_V20151209T144722_20151209T144722","GS2A_20151209T144722_002424_N02.04","19HBD","2015-12-09T14:56:17.620000Z",176874470,6.9331,"PASSED","2017-05-31T21:45:17.000000Z",-32.4967235507116,-33.4890600984968,-72.228898800549,-71.8333207262226,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2A_MSIL1C_20151209T144722_N0204_R139_T19HBD_20170531T214517.SAFE","19H","19",2015-12-09
"L1C_T19HCD_A007672_20161210T144555","S2A_MSIL1C_20161210T143752_N0204_R096_T19HCD_20161210T144555","GS2A_20161210T143752_007672_N02.04","19HCD","",NA,NA,"PASSED","2016-12-10T14:45:55.000000Z",NA,NA,NA,NA,"","19H","19",NA
"L1C_T19HDD_A014851_20200109T144550","S2B_MSIL1C_20200109T143719_N0208_R096_T19HDD_20200109T175951","GS2B_20200109T143719_014851_N02.08","19HDD","2020-01-09T14:51:55.903000Z",475284451,49.0902,"","2020-01-09T17:59:51.000000Z",-32.5327530693199,-33.5263067481127,-70.0773934106369,-69.3176749231255,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20200109T143719_N0208_R096_T19HDD_20200109T175951.SAFE","19H","19",2020-01-09
